ASIN,Name,20171,20172,2018,,2019 Q1,,2019 Q2,,July,Julym,August,Augustm,September,Septemberm,October,Octoberm,November,Novemberm,December,Decemberm,January,Januarym,February,Februarym,March,Marchm
ASIN,Item Name,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS
B07FSFXZZ3,"[8CH Expandable]Hiseeu Wireless Security Camera System With One-Way Audio,HD Video Security System 4Pcs 1080P 2.0MP IP Security Cameras Wireless Indoor/Outdoor IR Bullet IP Camera WiFi, No Hard Drive",0,0,329,49106.45,522,76921.19,1098,171142.17,198,29326.78,114,18772.83,177,26106.93,79,12944.77,83,13124.34,133,21655.07,114,18201.11,72,10752.28,101,14977.76
B077S36ZSP,"[8CH, Expandable] All in one with 10.1"" Monitor Wireless Security Camera System, Cromorc Home Business CCTV Surveillance 1080P NVR Kit, 4pcs 960P Indoor Outdoor Night Vision IP Camera, 1TB Hard Drive",0,0,1551,480538.6,1098,333574.57,1144,341951.85,427,123715.88,278,80140.11,213,60481.53,189,52486.91,160,42974.09,229,61478.53,179,48153.37,200,53702.58,200,53710.13
B07GP6929Y,"[Expandable 8CH] 1080P Full HD Wireless Security Camera System with Monitor and 1TB Hard Drive,SAFEVANT Home Surveillance Systems 4PCS 2MP Outdoor Indoor IP Cameras with Night Vision Motion Detection",0,0,46,18423.45,21,8103.17,29,9993.38,13,4169.87,8,2410.82,10,2998.32,13,3925.78,7,2045.37,6,1744.74,4,1149.58,3,822.11,35,6637.86
B07719HQQS,"[Expandable 8CH] Wireless Security Camera System with 1TB Hard Drive with One-Way Audio, Hiseeu 8 Channel NVR 4Pcs 1080P 2.0MP Night Vision WiFi IP Security Surveillance Cameras Home Outdoor",0,0,1004,192936.52,2056,420637.47,2721,581756.59,1562,343822.97,1430,324727.18,1819,412730.38,1707,386851.52,2088,452174.51,2151,474854.35,1527,321364.91,1479,304361.3,1485,306259.68
B07F9N7LQZ,"[Full HD] 1080P Wireless Security Camera,NexTrend 180 Degree Panoramic IP Camera Two-Way Audio, Motion Detection,Cloud Storage,Night Vision for Home/Office/Baby/Pet Monitor,Work on Phone,PC-4 Pack",0,0,379,63862.53,230,36147.39,162,24037.51,90,12108.34,39,5411.23,23,3195.63,0,0,0,0,0,0,0,0,0,0,0,0
B07D393BRM,"[FULL HD]1080P Security WiFi Camera,180 degree Panoramic Wireless IP Camera with Motion Detection,Two-Way Audio,Free App,Cloud Storage,Indoor Surveillance Camera for Home/Office/Baby/Pet Monitor,2 PCs",0,0,687,60451.76,114,9296.74,47,3734.53,33,2508.71,28,2101.08,23,1768.13,26,1984.5,14,1048.03,6,409.29,0,0,0,0,0,0
B07MZ9PQ12,"[New 2019] FullHD 1080p WiFi Home Security Camera Pan/Tilt/Zoom - Best Rated Smart App, Work with Alexa - Wireless IP Indoor Surveillance System - Night Vision, Remote Baby Monitor iOS (Black-Orange)",0,0,0,0,442,23231.74,119,6309.4,113,6849.56,105,6263.84,0,0,2,159.2,9,379.46,11,474.09,1,44.63,0,0,0,0
B07FDLXW4N,"[New 2019] FullHD 1080p WiFi Home Security Camera Pan/Tilt/Zoom - Best Rated Smart App, Work with Alexa - Wireless IP Indoor Surveillance System - Night Vision, Remote Baby Monitor iOS (Black)",0,0,0,0,607,33799.61,7332,396078.77,7123,353346.68,4040,200407.95,2709,129369.67,1906,94678.85,1048,52079.85,334,16744.67,0,0,2,182.56,7,687.91
B07QZ4BWY1,"[New 2019] Petcube Bites 2 Wi-Fi Pet Camera with Treat Dispenser & Alexa Built-In, for Dogs & Cats. 1080P HD Video, 160ç Full-Room View, 2-Way Audio, Sound/Motion Alerts, Night Vision, Pet Monitor",0,0,0,0,0,0,0,0,453,79654.61,243,48476.02,189,37541.63,106,21534.37,183,39362.64,1538,313576,200,46121.81,218,51076.03,79,23006.14
B07R3G87RG,"[New 2019] Petcube Play 2 Wi-Fi Pet Camera with Laser Toy & Alexa Built-In, for Cats & Dogs. 1080P HD Video, 160ç Full-Room View, 2-Way Audio, Sound/Motion Alerts, Night Vision, Pet Monitoring App",0,0,0,0,0,0,0,0,203,36847.68,274,47246.03,266,46509.72,207,38387.57,188,35416.02,684,121366.82,406,71919.99,334,51283.97,151,29275.77
